author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Adelbassett 2020,31,40.75,4.43,16,45.40,4.70,2020,North_Africa,NAFLD
Babu 2022,20,46.60,21.80,22,58.00,43.70,2022,Europe,NAFLD
Balducci 2015,303,36.60,13.80,303,34.20,13.10,2015,Europe,T2DM
Cheng 2017,22,21.30,10.15,18,23.50,9.05,2017,Asia,NAFLD
Hallsworth 2011,11,59.60,39.00,8,61.40,44.00,2011,UK,NAFLD
Hallsworth 2015,12,42.00,20.00,11,51.00,24.00,2015,UK,NAFLD
Hassabi 2023,26,37.96,23.06,14,44.21,16.58,2023,Asia,NAFLD
Haufe 2021,132,31.71,16.43,142,46.86,37.42,2021,Europe,MetS
Houghton 2017,12,52.00,18.00,12,75.00,52.00,2017,Europe,NASH
Keating 2023,7,50.60,34.60,5,53.80,31.60,2023,Australia,NASH
Kelardeh 2020,12,23.02,4.96,11,25.83,6.98,2020,Asia,NAFLD
Pugh 2013,6,29.00,7.15,5,43.00,11.28,2013,Europe,NAFLD
Pugh 2014,13,39.80,18.45,8,59.30,30.92,2014,Europe,NAFLD
Reljic 2021,29,29.00,10.00,17,27.00,16.00,2021,Europe,MetS
Rezende 2016,19,44.37,37.49,21,36.15,18.44,2016,South_America,NAFLD
Stine 2022,18,44.20,16.10,10,52.60,15.70,2022,North_America,NASH
Sullivan 2012,12,39.30,25.63,6,39.30,22.54,2012,North_America,NAFLD
Takahashi 2015,31,56.30,49.70,22,71.00,38.40,2015,Asia,NAFLD
Zelber-Sagi 2014,33,53.00,35.61,31,50.13,37.20,2014,Asia,NAFLD
