author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Rezende 2016,19,1.56,0.63,21,1.32,0.39,2016,South_America,NAFLD
Adelbassett 2020,31,1,0.08,16,0.96,0.11,2020,North_Africa,NAFLD
Babu 2022,20,1.46,0.42,22,1.34,0.34,2022,Europe,NAFLD
Stine 2022,18,1.14,0.18,10,0.77,0.30,2022,North_America,NASH
Hassabi 2023,26,2.67,0.82,14,2.70,0.57,2023,Asia,NAFLD
Keating 2023,7,0.90,0.20,5,0.90,0.10,2023,Australia,NASH
Pugh 2013,6,1.30,0.19,5,1.20,0.08,2013,Europe,NAFLD
Pugh 2014,13,1.40,0.25,8,1.20,0.12,2014,Europe,NAFLD
Reljic 2021,29,1.30,0.30,17,1.30,0.30,2021,Europe,MetS
Sullivan 2012,12,1.03,0.06,6,1.00,0.08,2012,North_America,NAFLD
Takahashi 2015,31,1.49,0.70,22,1.35,0.36,2015,Asia,NAFLD
