author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Adelbassett 2020,31,6.10,2.75,16,6.50,0.50,2020,Eastern_Mediterranean,NAFLD
Babu 2022,20,40.60,5.30,22,38.10,2.80,2022,Europe,NAFLD
Cheng 2017,22,6.10,0.34,18,6.20,0.30,2017,Western_Pacific,NAFLD
Hallsworth 2011,11,6.00,0.7,8,6.80,1.8,2011,Europe,NAFLD
Hassabi 2023,26,5.39,0.80,14,6.00,1.14,2023,Eastern_Mediterranean,NAFLD
Houghton 2017,12,50.00,13.00,12,49.00,15.00,2017,Europe,NASH
Reljic 2021,29,5.50,0.70,17,5.40,1.10,2021,Europe,MetS
Rezende 2016,19,6.74,1.81,21,6.15,0.64,2016,Americas,NAFLD
Stine 2022,18,6.10,0.80,10,6.60,1.70,2022,Americas,NASH
Takahashi 2015,31,6.00,0.70,22,6.10,1.00,2015,Western_Pacific,NAFLD
Zelber-Sagi 2014,33,5.59,0.49,31,5.59,0.46,2014,Europe,NAFLD
