author,n.e,mean.e,sd.e,n.c,mean.c,sd.c,Year,Region,Disease_type
Babu 2022,20,6.30,0.70,22,6.10,0.70,2022,Europe,NAFLD
Cheng 2017,22,7.70,2.14,18,8.10,2.01,2017,Western_Pacific,NAFLD
Hallsworth 2011,11,5.20,0.90,8,6.40,3.30,2011,Europe,NAFLD
Hallsworth 2015,22,8.80,3.80,12,7.50,3.90,2015,Europe,NAFLD
Houghton 2017,12,6.60,1.60,12,5.80,1.80,2017,Europe,NASH
Keating 2023,7,7.60,2.30,5,7.60,1.40,2023,Western_Pacific,NASH
Pugh 2013,6,4.70,0.57,5,5.70,0.48,2013,Europe,NAFLD
Pugh 2014,13,4.70,0.58,8,5.50,0.72,2014,Europe,NAFLD
Reljic 2021,29,5.50,0.70,17,5.60,1.10,2021,Europe,MetS
Rezende 2016,19,6.60,1.10,21,6.10,1.10,2016,Americas,NAFLD
Stine 2022,18,6.50,1.60,18,8.70,4.90,2022,Western_Pacific,NASH
Takahashi 2015,31,6.00,0.90,22,6.20,1.40,2015,Western_Pacific,NAFLD
Zelber-Sagi 2014,33,4.70,0.50,31,4.70,0.60,2014,Europe,NAFLD
